ItemName_BagUpgradePlus.SchoolbagPlus= "书包 加强版",
ItemName_BagUpgradePlus.BigHikingBagplus= "大型登山包 加强版",
ItemName_BagUpgradePlus.ALICEpackPlus = "军用背包 加强版",
ItemName_BagUpgradePlus.ALICEpack_CamoPlus = "军用背包 迷彩加强版",
ItemName_BagUpgradePlus.ALICEpack_DesertCamoPlus = "军用背包 沙漠迷彩加强版",
ItemName_ExtraCraft.SheetSlingBagPlus = "布料斜挎包 加强版",
ItemName_BagUpgradePlus.DuffelPlus = "旅行包 加强版",
ItemName_BagUpgradePlus.MedicalPlus = "医疗旅行包 加强版",
ItemName_BagUpgradePlus.MilitaryPlus = "军用旅行包 加强版",
ItemName_BagUpgradePlus.PolicePlus = "警用旅行包 加强版",
ItemName_BagUpgradePlus.SheriffPlus = "治安官旅行包 加强版",
ItemName_BagUpgradePlus.SWATPlus = "特警旅行包 加强版",
ItemName_BagUpgradePlus.FannyPackFrontPlus = "腰包 - 前部 加强版",
ItemName_BagUpgradePlus.FannyPackBackPlus = "腰包 - 后部 加强版",
ItemName_BagUpgradePlus.HydrationBackpackPlus = "水袋背包 加强版",
ItemName_BagUpgradePlus.HydrationBackpackPlus_Camo = "水袋背包 迷彩加强版",
ItemName_BagUpgradePlus.HikingBagPlus = "登山背包 加强版",
ItemName_BagUpgradePlus.BigHikingBagPlus = "大型登山背包 加强版",
ItemName_BagUpgradePlus.BigHikingBagPlus_Travel = "附旅行贴片大型登山背包 加强版",
ItemName_BagUpgradePlus.FirstAidKitPlus = "急救箱 加强版",
ItemName_BagUpgradePlus.GolfBag_MeleePlus = "高尔夫包 加强版",
ItemName_BagUpgradePlus.SatchelPlus = "肩包 加强版",
ItemName_BagUpgradePlus.Satchel_FishingPlus = "钓鱼肩包 加强版",
ItemName_BagUpgradePlus.Satchel_MedicalPlus = "医疗肩包 加强版",
ItemName_BagUpgradePlus.Satchel_MilitaryPlus = "军用肩包 加强版",
ItemName_Base.BeerBottle = "瓶装啤酒",
ItemName_Base.BeerCan = "罐装啤酒",
ItemName_Base.BeerImported = "进口啤酒",
ItemName_Base.BorisBadger = "獾鲍里斯玩偶",
ItemName_Base.Brandy = "白兰地",
ItemName_Base.Champagne = "香槟",
ItemName_Base.Cider = "苹果酒",
ItemName_Base.CoffeeLiquer = "咖啡利口酒",
ItemName_Base.Curacao = "蓝橙力娇酒",
ItemName_Base.FluffyfootBunny = "兔子茸毛脚玩偶",
ItemName_Base.FreddyFox = "狐狸弗雷迪玩偶",
ItemName_Base.FurbertSquirrel = "松鼠弗伯特玩偶",
ItemName_Base.Gin = "金酒",
ItemName_Base.Grenadine = "石榴糖浆",
ItemName_Base.JacquesBeaver = "海狸雅克玩偶",
ItemName_Base.MoleyMole = "鼹鼠莫利玩偶",
ItemName_Base.PancakeHedgehog = "刺猬庞佩克玩偶",
ItemName_Base.PanchoDog = "狗狗潘乔玩偶",
ItemName_Base.Plushabug = "蚜虫潘帕伯格玩偶",
ItemName_Base.PopBottle = "橙汁汽水",
ItemName_Base.PopBottleEmpty = "汽水瓶",
ItemName_Base.Port = "波特酒",
ItemName_Base.Rum = "朗姆酒",
ItemName_Base.Scotch = "苏格兰威士忌",
ItemName_Base.Sherry = "雪利酒",
ItemName_Base.Spiffo = "浣熊斯皮福玩偶",
ItemName_Base.Tequila = "龙舌兰酒",
ItemName_Base.Vermouth = "苦艾酒",
ItemName_Base.Vodka = "伏特加",
ItemName_Base.WaterBottle = "水瓶",
ItemName_Base.WaterBottleFull = "塑料瓶 (水)",
ItemName_Base.WaterPopBottle = "汽水瓶 (水)",
ItemName_Base.Whiskey = "威士忌",
ItemName_Base.Wine = "白葡萄酒",
ItemName_Base.Wine2 = "红葡萄酒",
ItemName_Base.Wine2Open = "红葡萄酒 (已打开)",
ItemName_Base.WineAged = "陈年红酒",
ItemName_Base.WineOpen = "白葡萄酒 (已打开)",
