ItemName_Base.BluePen="圆珠笔 (蓝)",
ItemName_Base.LightBulb = "灯泡 (白)",
ItemName_Base.LightBulbBlue = "灯泡 (蓝)",
ItemName_Base.LightBulbCyan = "灯泡 (青)",
ItemName_Base.LightBulbGreen = "灯泡 (绿)",
ItemName_Base.LightBulbMagenta = "灯泡 (洋红)",
ItemName_Base.LightBulbOrange = "灯泡 (橙)",
ItemName_Base.LightBulbPink = "灯泡 (粉)",
ItemName_Base.LightBulbPurple = "灯泡 (紫)",
ItemName_Base.LightBulbRed = "灯泡 (红)",
ItemName_Base.LightBulbYellow = "灯泡 (黄)",
ItemName_Base.LogStacks2 = "原木捆 (两根)",
ItemName_Base.LogStacks3 = "原木捆 (三根)",
ItemName_Base.LogStacks4 = "原木捆 (四根)",
ItemName_Base.PaintBlack = "油漆 (黑)",
ItemName_Base.PaintBlue = "油漆 (蓝)",
ItemName_Base.PaintBrown = "油漆 (棕)",
ItemName_Base.PaintCyan = "油漆 (青)",
ItemName_Base.PaintGreen = "油漆 (绿)",
ItemName_Base.PaintGrey = "油漆 (灰)",
ItemName_Base.PaintLightBlue = "油漆 (浅蓝)",
ItemName_Base.PaintLightBrown = "油漆 (浅棕)",
ItemName_Base.PaintOrange = "油漆 (橙)",
ItemName_Base.PaintPink = "油漆 (粉)",
ItemName_Base.PaintPurple = "油漆 (紫)",
ItemName_Base.PaintRed = "油漆 (红)",
ItemName_Base.PaintTurquoise = "油漆 (青绿)",
ItemName_Base.PaintWhite = "油漆 (白)",
ItemName_Base.PaintYellow = "油漆 (黄)",
ItemName_Base.Pen = "钢笔 (黑)",
ItemName_Base.Radio = "收音机",
ItemName_Base.RedPen = "圆珠笔 (红)",
ItemName_Radio.HamRadio1 = "民用无线电台 - 昂科公司",
ItemName_Radio.HamRadio2 = "军用无线电台",
ItemName_Radio.HamRadioMakeShift = "自制无线电台",
ItemName_Radio.RadioBlack = "廉科牌收音机",
ItemName_Radio.RadioMakeShift = "自制收音机",
ItemName_Radio.RadioRed = "昂科牌收音机",
ItemName_Radio.TvAntique = "复古电视机",
ItemName_Radio.TvBlack = "廉科牌电视机",
ItemName_Radio.TvWideScreen = "昂科牌电视机",
ItemName_Radio.WalkieTalkie1 = "玩具对讲机 - 漫淘玩具",
ItemName_Radio.WalkieTalkie2 = "廉科牌对讲机",
ItemName_Radio.WalkieTalkie3 = "昂科牌对讲机",
ItemName_Radio.WalkieTalkie4 = "战术对讲机",
ItemName_Radio.WalkieTalkie5 = "军用对讲机",
ItemName_Radio.WalkieTalkieMakeShift = "自制对讲机",
Tooltip_BookTitle = "书名",
Tooltip_BookTitle_1 = "%1 适合初级",
Tooltip_BookTitle_3 = "%1 适合中级",
Tooltip_BookTitle_5 = "%1 适合高级",
Tooltip_BookTitle_7 = "%1 适合专家",
Tooltip_BookTitle_9 = "%1 适合大师",
Tooltip_BookTitle_Blacksmith = "锻造",
Tooltip_BookTitle_FlintKnapping = "打火石",
Tooltip_BookTitle_Carving = "雕刻",
Tooltip_BookTitle_Carpentry = "木工",
Tooltip_BookTitle_Cooking = "烹饪",
Tooltip_BookTitle_Electricity = "电工",
Tooltip_BookTitle_Farming = "耕作",
Tooltip_BookTitle_FirstAid = "急救",
Tooltip_BookTitle_Fishing = "钓鱼",
Tooltip_BookTitle_Foraging = "搜寻",
Tooltip_BookTitle_Mechanics = "技工",
Tooltip_BookTitle_MetalWelding = "金工",
Tooltip_BookTitle_Tailoring = "缝纫",
Tooltip_BookTitle_Trapping = "诱捕",
Tooltip_BookTitle_Aiming = "瞄准",
Tooltip_BookTitle_Reloading = "装填",
