IGUI_BenchPress= "卧推架",
IGUI_BenchPress_Tooltip= "使用卧推架锻炼",
IGUI_Treadmill= "跑步机",
IGUI_Treadmill_Tooltip= "在跑步机上锻炼",
IGUI_heavy=					"太重了，現在無法使用",
IGUI_low_endurance=			"我太累了",
IGUI_need_barbell=			"我需要一個槓鈴來做這個練習",
IGUI_pain=					"我太痛苦了",
Sandbox_FWOFitness = "体格及锻炼大修",
Sandbox_FWOFitness_AverageExerciseRegularityBonus = "平均锻炼加成",
Sandbox_FWOFitness_AverageExerciseRegularityBonus_tooltip = "根据您所有锻炼的平均熟练度获得加成",
Sandbox_FWOFitness_BoredomMultiplier = "无聊状态加成",
Sandbox_FWOFitness_BoredomMultiplier_tooltip = "调整无聊状态的负面经验加成 (0 = 关闭)",
Sandbox_FWOFitness_DropBags = "把背包丢到地上",
Sandbox_FWOFitness_InitialPerkBonus = "起始技能加成",
Sandbox_FWOFitness_InitialPerkBonus_tooltip = "包含起始技能加成计算 (75% 100% 125%)",
Sandbox_FWOFitness_KeepBagsOn = "背包保持装备状态",
Sandbox_FWOFitness_LevelBonus = "等级加成",
Sandbox_FWOFitness_LevelBonus_tooltip = "视技能等级获得加成",
Sandbox_FWOFitness_PassiveMultiplier = "被动经验加成 (锻炼以外活动)",
Sandbox_FWOFitness_PassiveMultiplier_tooltip = "套用于运动以外任何能够获得力量及体格经验的活动. 例如:进战/奔跑... (0 = 无被动加成)",
Sandbox_FWOFitness_RestedBonus = "重置加成",
Sandbox_FWOFitness_RestedBonusNegative = "重置负面加成",
Sandbox_FWOFitness_RestedBonus_tooltip = "当您有肌肉酸痛时获得负面经验加成,休息后重新获得加成(肌肉酸痛缓解后)",
Sandbox_FWOFitness_SpaceOutExercise = "锻炼间隔",
Sandbox_FWOFitness_SpaceOutExerciseNegative = "锻炼间隔负面加成",
Sandbox_FWOFitness_SpaceOutExercise_tooltip = "依锻炼间隔来获得经验加成 (间隔8小时或肌肉酸痛缓解后)，体格及力量的加成分开计算",
Sandbox_FWOFitness_UnhappynessMultiplier = "不开心状态加成",
Sandbox_FWOFitness_UnhappynessMultiplier_tooltip = "调整不开心状态的负面经验加成 (0 = 关闭)",
Sandbox_FWOFitness_XPMultiplier = "其余可选经验加成基数",
Sandbox_FWOFitness_XPMultiplier_tooltip = "整体经验加成 (影响所有锻炼，建议为小数值)",
Sandbox_FWOFitness_currentExerciseOffset = "当前训练成长率",
Sandbox_FWOFitness_currentExerciseOffset_tooltip = "设置为0来设置为线性成长率",
Sandbox_FWOFitness_currentExerciseRate = "目前锻炼成长率",
Sandbox_FWOFitness_currentExerciseRate_tooltip = "线性成长的斜率 (数值越高=加成越高)(若偏移量不为0则同样影响负面成长率)",
Sandbox_FWOFitness_currentExerciseRegularityBonus = "当前锻炼熟练度加成",
Sandbox_FWOFitness_currentExerciseRegularityBonus_tooltip = "根据您锻炼的熟练度加成",
Sandbox_FWOWorkingTreadmill = "体格锻炼大修-跑步机和卧推架",
Sandbox_FWOWorkingTreadmill_BenchTreadKeepBagsOn = "保持背包装备",
Sandbox_FWOWorkingTreadmill_BenchpressDropBags = "使用卧推架时，解除装备背包并将其丢到地上",
Sandbox_FWOWorkingTreadmill_SprintingXPMultiply = "跑步机-奔跑经验加成",
Sandbox_FWOWorkingTreadmill_StrengthXPMultiply = "跑步机-力量经验加成",
Sandbox_FWOWorkingTreadmill_TreadmillDropBags = "使用跑步机时，解除装备背包并将其丢到地上",
