IGUI_BenchPress=			"BenchPress",
IGUI_BenchPress_Tooltip=	"Train on BenchPress",
IGUI_Treadmill=				"Treadmill",
IGUI_Treadmill_Tooltip=		"Run on Treadmill",
IGUI_heavy=					"Too heavy to use right now",
IGUI_low_endurance=			"I'm Too exhausted",
IGUI_need_barbell=			"I need a barbell to do this exercise",
IGUI_pain=					"I'm in too much pain",
Sandbox_FWOWorkingTreadmill =						"FWO Treadmill & Bench-Press",
Sandbox_FWOWorkingTreadmill_BenchTreadKeepBagsOn =	"keep Bags equiped",
Sandbox_FWOWorkingTreadmill_BenchpressDropBags =	"Bench-Press Drop Bags On Floor On Unequip",
Sandbox_FWOWorkingTreadmill_SprintingXPMultiply =	"Treadmill Sprinting XP Multiplier",
Sandbox_FWOWorkingTreadmill_StrengthXPMultiply =	"Treadmill Strength XP Multiplier",
Sandbox_FWOWorkingTreadmill_TreadmillDropBags =		"Treadmill Drop Bags On Floor on Unequip",
