Moodles_DE {
	Moodles_Addict_Good_lvl1 = "Voll drauf und fühl mich gut",
	Moodles_Addict_Good_desc_lvl1 = "Deutlich weniger anfällig für Stress",
    Moodles_Addict_Bad_lvl1 = "Verlangen",
    Moodles_Addict_Bad_desc_lvl1 = "Moderater Stressanstieg",
    Moodles_Addict_Bad_lvl2 = "Süchtig",
    Moodles_Addict_Bad_desc_lvl2 = "Gestresst und leichte Schmerzen",
    Moodles_Addict_Bad_lvl3 = "Entzugserscheinungen",
    Moodles_Addict_Bad_desc_lvl3 = "Muskelschmerzen und stark gestresst",
    Moodles_Addict_Bad_lvl4 = "Schwere Entzugserscheinungen",
    Moodles_Addict_Bad_desc_lvl4 = "Intensive Muskelkrämpfe und schwere psychische Belastung",
	
	Moodles_VitaminJunkie_Good_lvl1 = "Vollgepumpt",
    Moodles_VitaminJunkie_Good_desc_lvl1 = "Ein leichter Rückenwind für meinen Tag",
    Moodles_VitaminJunkie_Good_lvl2 = "Energisch",
    Moodles_VitaminJunkie_Good_desc_lvl2 = "Das kann ich den ganzen Tag machen.",
    Moodles_VitaminJunkie_Good_lvl3 = "Unermüdlich",
    Moodles_VitaminJunkie_Good_desc_lvl3 = "Bereit, gegen den Schwarm anzutreten.",
    Moodles_VitaminJunkie_Good_lvl4 = "Sexueller Tyrannosaurus",
    Moodles_VitaminJunkie_Good_desc_lvl4 = "Könnte ein Auto stemmen! ZWEIMAL!!",
	
	Moodles_Berserk_Good_lvl1 = "Aufwärmen",
    Moodles_Berserk_Good_desc_lvl1 = "Ich fange gerade erst an",
    Moodles_Berserk_Good_lvl2 = "Furchtlos",
    Moodles_Berserk_Good_desc_lvl2 = "Furcht und Panik haben dich verlassen",
    Moodles_Berserk_Good_lvl3 = "Berserker",
    Moodles_Berserk_Good_desc_lvl3 = "Sie werden fallen, SIE WERDEN ALLE FALLEN!",
    Moodles_Berserk_Good_lvl4 = "RAAAAAAAGHHHHHH",
    Moodles_Berserk_Good_desc_lvl4 = "NICHTS WIRD STEHEN, WENN ICH FERTIG BIN!",
	
	Moodles_SecondWind_Good_lvl1 = "Erlösende Gnade",
	Moodles_SecondWind_Good_desc_lvl1 = "Du hast deinen zweiten Wind gefunden. Verwende deutlich weniger Ausdauer. Erschöpfung und Panik sind ebenfalls reduziert.",
    Moodles_SecondWind_Bad_lvl1 = "Außer Atem",
    Moodles_SecondWind_Bad_desc_lvl1 = "Du wirst keinen dritten Wind bekommen",
	
	Moodles_Wanderer_Good_lvl1 = "Ein schöner Spaziergang",
    Moodles_Wanderer_Good_desc_lvl1 = "Ein Spaziergang beruhigt den Geist, wenn auch nur ein wenig.",
	
	Moodles_Homebody_Good_lvl1 = "Geschützt",
    Moodles_Homebody_Good_desc_lvl1 = "Der flüchtige Komfort von vier Wänden und einem Dach lässt den Geist langsam zur Ruhe kommen.",
	
	Moodles_Codependant_Bad_lvl1 = "Alleine",
    Moodles_Codependant_Bad_desc_lvl1 = "Wo sind alle hingegangen??",
    Moodles_Codependant_Bad_lvl2 = "Isoliert",
    Moodles_Codependant_Bad_desc_lvl2 = "Brauche Gesellschaft",
    Moodles_Codependant_Bad_lvl3 = "Einsam",
    Moodles_Codependant_Bad_desc_lvl3 = "Mäßiger Anstieg an Unzufriedenheit",
    Moodles_Codependant_Bad_lvl4 = "Verlassen",
    Moodles_Codependant_Bad_desc_lvl4 = "Schwerwiegender Anstieg an Unzufriedenheit",
	
	Moodles_Betrayed_Bad_lvl1 = "Vorsichtig",
    Moodles_Betrayed_Bad_desc_lvl1 = "Braucht etwas Abstand oder braucht eine Waffe",
    Moodles_Betrayed_Bad_lvl2 = "Unruhig",
    Moodles_Betrayed_Bad_desc_lvl2 = "Vertraut keinen Menschen",
    Moodles_Betrayed_Bad_lvl3 = "Misstrauisch",
    Moodles_Betrayed_Bad_desc_lvl3 = "Was planen sie?",
    Moodles_Betrayed_Bad_lvl4 = "Besorgnis",
    Moodles_Betrayed_Bad_desc_lvl4 = "Weg von ihnen",
}
