Tooltip_IT = {
  
Tooltip_PlumbHelper 	= "Aiutante idraulico+"
Tooltip_PlumbHelper2 	= "Seleziona per attivare un cursore per trovare le fonti d'acqua sopra di te."
Tooltip_PlumbHelper3 	= "Guida di supporto:"
Tooltip_PlumbHelper4 	= "Rosso = Nessuna fonte d'acqua, al chiuso"
Tooltip_PlumbHelper4B 	= "Rosso = Nessuna fonte d'acqua, all'aperto"
Tooltip_PlumbHelper5 	= "Giallo = Acqua disponibile, Piastrella all'aperto"
Tooltip_PlumbHelper6 	= "Blu = impianto idraulico disponibile"
Tooltip_PlumbHelper7 	= "Verde = rubinetto trovato"
Tooltip_PlumbHelper8 	= "Rosso = Nessun rubinetto trovato"
Tooltip_PlumbHelper9 	= "Seleziona per attivare un cursore per trovare i rubinetti sotto di te."
Tooltip_PlumbHelper10 	= "Trova Rubinetti"
Tooltip_PlumbHelper11 	= "Trova i raccoglitori di pioggia"
Tooltip_IsOutside 		= "Sei considerato: Esterno"
Tooltip_IsInside 		= "Sei considerato: Dentro"
Tooltip_WaterON 		= "L'approvvigionamento idrico del Kentucky è attivo."
Tooltip_WaterONB 		= "(Ciò potrebbe influire sulla precisione delle strutture Vanilla)"
Tooltip_WaterOFF 		= "La fornitura idrica del Kentucky è disattivata."

}
