Tooltip_PH = {
  
Tooltip_PlumbHelper 	= "katulong sa tubo+"
Tooltip_PlumbHelper2 	= "Piliin upang i-activate ang isang cursor upang maghanap ng mga mapagkukunan ng tubig sa itaas mo."
Tooltip_PlumbHelper3 	= "Gabay sa Katulong:"
Tooltip_PlumbHelper4 	= "Pula = Walang Pinagmumulan ng Tubig, Sa Loob"
Tooltip_PlumbHelper4B 	= "Pula = Walang Pinagmumulan ng Tubig, Sa Labas"
Tooltip_PlumbHelper5 	= "Dilaw = Magagamit na Tubig, Tile sa Labas"
Tooltip_PlumbHelper6 	= "Asul = Magagamit ang Tubero"
Tooltip_PlumbHelper7 	= "Berde = Nahanap ang gripo"
Tooltip_PlumbHelper8 	= "Pula = Walang Nakitang Faucet"
Tooltip_PlumbHelper9 	= "Piliin upang i-activate ang isang cursor upang makahanap ng mga gripo sa ibaba mo."
Tooltip_PlumbHelper10 	= "Maghanap ng mga Faucet"
Tooltip_PlumbHelper11 	= "Maghanap ng Rain Collectors"
Tooltip_IsOutside 		= "Isinasaalang-alang ka: Sa labas"
Tooltip_IsInside 		= "Isinasaalang-alang ka: Sa loob"
Tooltip_WaterON 		= "Aktibo ang supply ng tubig sa Kentucky."
Tooltip_WaterONB 		= "(Maaaring makaapekto ito sa katumpakan sa mga istraktura ng vanilla)"
Tooltip_WaterOFF 		= "Ang supply ng tubig sa Kentucky ay hindi aktibo."

}
