Tooltip_PL = {
  
Tooltip_PlumbHelper 	= "Pomocnik hydraulika+"
Tooltip_PlumbHelper2 	= "Wybierz, aby aktywowac kursor w celu znalezienia zródel wody nad toba."
Tooltip_PlumbHelper3 	= "Przewodnik pomocniczy:"
Tooltip_PlumbHelper4 	= "Czerwony = brak zródla wody, w pomieszczeniu"
Tooltip_PlumbHelper4B 	= "Czerwony = brak zródla wody, na zewnatrz"
Tooltip_PlumbHelper5 	= "Zólty = dostepna woda, plytki na zewnatrz"
Tooltip_PlumbHelper6 	= "Niebieski = dostepna instalacja wodno-kanalizacyjna"
Tooltip_PlumbHelper7 	= "Zielony = znaleziono kran"
Tooltip_PlumbHelper8 	= "Czerwony = nie znaleziono kranu"
Tooltip_PlumbHelper9 	= "Wybierz, aby aktywowac kursor w celu znalezienia kranów pod soba."
Tooltip_PlumbHelper10 	= "Znajdz krany"
Tooltip_PlumbHelper11 	= "Znajdz zbieracze deszczu"
Tooltip_IsOutside 		= "Jestes uwazany za: na zewnatrz"
Tooltip_IsInside 		= "Jestes brany pod uwage: Wewnatrz"
Tooltip_WaterON 		= "Zaopatrzenie w wode w Kentucky jest aktywne."
Tooltip_WaterONB 		= "(Moze to miec wplyw na dokladnosc struktur waniliowych)"
Tooltip_WaterOFF 		= "Dostawy wody w Kentucky sa wylaczone."

}
