RecipesKO
{
/*전설의 카타나 제작*/
Recipe_MakeLegendaryKatanaBlade = "전설의 카타나 칼날 제작",
Recipe_MakeLegendaryKatanaHandle = "전설의 카타나 손잡이 제작",
Recipe_MakeLegendaryKatana = "전설의 카타나 제작",

/*에픽 카타나 제작*/
Recipe_MakeEpicKatanaBlade = "에픽 카타나 칼날 제작",
Recipe_MakeEpicKatanaHandle = "에픽 카타나 손잡이 제작",
Recipe_MakeEpicKatana = "에픽 카타나 제작",

/*희귀 카타나 제작*/
Recipe_MakeRareKatanaBlade = "희귀 카타나 칼날 제작",
Recipe_MakeRareKatanaHandle = "희귀 카타나 손잡이 제작",
Recipe_MakeRareKatana = "희귀 카타나 제작",

/*전설의 카타나 색칠*/
Recipe_MakeLegendaryKatanaGrey = "전설의 카타나 회색으로 색칠",
Recipe_MakeLegendaryKatanaGreen = "전설의 카타나 녹색으로 색칠",
Recipe_MakeLegendaryKatanaBrown = "전설의 카타나 갈색으로 색칠",
Recipe_MakeLegendaryKatanaBlack = "전설의 카타나 검정으로 색칠",
Recipe_MakeLegendaryKatanaPink = "전설의 카타나 분홍으로 색칠",
Recipe_MakeLegendaryKatanaPurple = "전설의 카타나 보라로 색칠",
Recipe_MakeLegendaryKatanaRed = "전설의 카타나 빨강으로 색칠",
Recipe_MakeLegendaryKatanaWhite = "전설의 카타나 흰색으로 색칠",
Recipe_MakeLegendaryKatanaBlue = "전설의 카타나 파랑으로 색칠",

/*색상별 카타나 칼집 제작*/
Recipe_MakeKatanaSheathWood = "카타나 칼집 제작 (나무)",
Recipe_MakeKatanaSheathGrey = "카타나 칼집 제작 (회색)",
Recipe_MakeKatanaSheathGreen = "카타나 칼집 제작 (녹색)",
Recipe_MakeKatanaSheathBrown = "카타나 칼집 제작 (갈색)",
Recipe_MakeKatanaSheathBlack = "카타나 칼집 제작 (검정)",
Recipe_MakeKatanaSheathPink = "카타나 칼집 제작 (분홍)",
Recipe_MakeKatanaSheathPurple = "카타나 칼집 제작 (보라)",
Recipe_MakeKatanaSheathRed = "카타나 칼집 제작 (빨강)",
Recipe_MakeKatanaSheathWhite = "카타나 칼집 제작 (흰색)",
Recipe_MakeKatanaSheathBlue = "카타나 칼집 제작 (파랑)",
Recipe_MakeKatanaSheathOrange = "카타나 칼집 제작 (주황)",
}
